glottocode,langname,longitude,latitude,ocean_distance
nort2961,Northwestern Ojibwa,272.2138,51.6192,404233.546349506
norw1258,Norwegian,10.71,59.92,18434.3071838139
nuer1246,Nuer,32.3829,8.13911,1119131.25035234
nugu1241,Nugunu,133.908,-31.9899,32479.369160734
nung1283,Nung,104.286,20.8965,206509.629577508
nupe1254,Nupe-Nupe-Tako,5.40031,9.18404,332868.341007695
nuuc1236,Nuu-chah-nulth,233.33,49.67,3026.75419504307
nyan1308,Nyanja,32.8108,-14.8047,565335.820753264
nyan1307,Nyankole,30.548,-0.46364,1071261.74610024
nyol1238,Nyole,33.9181,0.88072,805383.227540654
nzim1238,Nzima,-2.81123,5.1785,16848.2724947284
oriy1255,Odia,85,21,131791.983028724
oksa1245,Oksapmin,142.177,-5.20797,224554.612229287
oldc1244,Old Chinese,114.32,36.12,390516.904975604
olde1238,Old English,-1.31,51.06,19610.1516251676
oldf1239,Old French,1.11,48.8,87987.0994499928
oldk1249,Old Khmer,103.866667,13.4125,192382.243743328
oldn1244,Old Norse,10.38,63.42,5002.56489925329
orok1267,Orokolo,145.34,-7.81309,7109.56228322241
osag1243,Osage,263.7051,36.7828,789933.540042001
paam1238,Paama,168.23693,-16.47548,13762.0972658633
paiw1248,Paiwan,120.806,22.3271,8376.53390453
pala1344,Palauan,134.476678,7.34138,6741.40676538261
pali1273,Pali,82.251,24.5271,596165.351525724
phal1254,Palula,71.8421,35.5096,1219661.61741341
pamp1243,Pampanga,120.502,14.9603,12422.0163308986
pang1290,Pangasinan,120.365,15.9377,14620.5935740063
papi1253,Papiamento,290.06012,12.48485,2235.6710275725
pedi1238,Pedi,29.471800000000002,-24.7993,340680.25383522
penn1240,Pennsylvania German,283.6789,40.030507,56659.3626611742
pidg1254,Pidgin Chinook Jargon,235,55,261338.675634378
pint1250,Pintupi-Luritja,130.643,-23.2963,913068.095299428
plai1258,Plains Cree,249.537,51.2437,903851.353724267
plat1254,Plateau Malagasy,47.1211,-19.5907,179135.956238084
plau1238,Plautdietsch,250.646132,49.578028,958769.615438233
pohn1238,Pohnpeian,158.223,6.87212,6302.29737578214
poli1260,Polish,18.6255,51.8439,279528.494737211
port1283,Portuguese,-8.1,39.91,66869.9559413201
powh1243,Powhatan,282.79248,36.99422,33267.5660292553
pula1263,Pulaar,-13.4482,13.8694,218452.862414388
pulu1242,Puluwatese,149.2005,7.35695,261283.765395667
rabh1238,Rabha,91.1689,25.8248,254817.930699639
rade1240,Rade,108.41,12.979,95215.1159569245
ralu1237,Raluana,152.114,-4.30986,8255.10704089939
reel1238,Reel,30.49451,6.32234,1409289.00583948
rend1243,Rendille,37.3608,2.27065,617984.703023556
renn1242,Rennell-Bellona,160.265,-11.6237,2732.94828066742
rita1239,Ritharrngu,135.259,-13.4559,72371.6199021468
roma1327,Romanian,24.2256,46.3913,397819.648374036
romb1245,Romblomanon,122.56,12.4047,6257.94157565434
